A,B,C,D,E,F,Class
0.612,0.919,10.209,1.49,2.38,1.42,0
0.459,0.842,10.056,0.77,3.27,0.83,0
0.153,0.727,9.826,2.37,1.91,0.79,0
0.498,1.149,10.132,5.96,0.93,0.65,0
0.612,1.11,10.362,13.39,1.79,1.46,0
0.651,1.264,10.056,4.4,1.73,2.36,0
0.536,0.957,10.132,20.34,1.84,2.75,0
0.574,1.187,10.132,6.16,1.04,3.42,0
0.383,0.919,9.979,1.74,1.78,1.32,0
0.498,1.034,9.902,4.9,6.67,5.1,0
0.229,1.11,10.094,4.17,4.26,4.18,0
0.344,0.766,10.056,3.55,10.42,2.67,0
0.383,0.651,10.285,2.09,3.57,2.11,0
0.766,1.072,10.362,2.92,2.33,1.39,0
0.651,0.727,10.017,4.74,7.01,3.17,0
0.804,2.681,9.864,42.7,17.51,11.89,1
1.302,1.838,12.086,31.03,19.87,4.87,0
1.225,2.796,11.741,34.42,16.92,4.3,0
1.647,2.298,13.235,9.07,9.49,3.25,0
1.379,4.903,11.013,26.83,21.2,4.49,0
3.179,1.685,10.898,33.05,29.82,5.42,1
3.217,1.072,10.554,23.09,48.13,3.51,1
1.8,3.562,12.852,13.52,39.78,8.87,1
3.945,1.187,9.251,15.94,107.07,7.56,1
5.209,3.217,13.273,25.81,65.07,7.81,1
3.102,2.145,12.967,32.21,12.53,4.88,0
7.202,4.213,15.534,29.49,66.2,14.95,1
1.494,1.11,8.83,18.08,80.25,11.82,1
3.447,1.532,10.439,3.34,62.61,5.56,1
5.554,0.881,11.128,15.09,62.06,6.67,1
3.371,1.264,11.818,45.32,38.77,7.76,1
0.727,1.455,10.17,13.52,17.53,2.03,0
1.11,1.8,11.281,18.14,21.51,3.89,0
0.842,1.647,10.783,8.07,25.95,7.51,0
0.996,1.34,11.473,7.94,15.35,6.01,0
1.302,0.689,9.826,10.89,18.75,4.14,0
0.498,0.919,10.209,10.17,15.89,3.5,0
0.766,1.225,10.17,5.07,7.97,2.13,0
0.536,0.344,10.362,2.37,3.23,1.63,0
0.344,0.919,10.362,19.01,1.17,5.03,0
0.306,0.957,10.209,0.76,1.06,1.34,0
0.574,0.651,10.17,3.89,34.5,8.36,0
0.804,6.052,12.048,10.83,8.36,6.21,0
4.252,4.482,9.711,34.82,20.71,29.54,1
2.221,5.056,17.258,12.37,6.73,5.15,0
0.612,1.11,10.324,13.72,3.67,3.36,0
0.191,0.842,9.941,4.5,2,2.77,0
0.383,0.881,10.056,4.33,8.8,3.94,0
2.106,1.762,10.822,15.51,11.3,3.42,0
2.106,2.413,12.239,15.05,39.02,12.62,1
3.486,4.788,16.798,21.33,30.03,5.05,0
4.213,1.379,14.691,24.13,55.04,15.02,1
2.796,2.221,11.55,23.35,69.71,11.01,1
1.57,3.371,14.653,9.19,22.78,3.32,0
2.221,1.34,12.431,12.26,24.98,5.96,0
2.796,2.451,11.703,23.1,41.57,6.66,1
2.183,2.03,11.243,15.2,15.8,3.52,0
2.413,2.336,12.277,21.83,10.1,7.47,0
3.332,3.639,12.354,15.68,108.94,20.05,1
1.915,2.106,10.63,19.46,32.29,4.16,0
0.727,1.685,11.856,6.65,38.14,10.21,0
7.623,2.834,9.979,34.65,20.73,7.6,1
0.842,2.375,10.324,16.03,22.79,5.7,0
0.727,2.413,13.044,11.18,53.93,18.22,1
0.996,1.11,10.63,0.42,1.94,0.58,0
0.842,0.766,10.362,0.95,0.29,3.03,0
0.344,0.344,9.749,0.69,0.51,0.75,0
0.383,0.498,9.902,0.08,0.42,1.05,0
0.651,0.842,10.132,0.4,0.49,19.12,0
0.536,0.957,10.4,1.92,0.63,8.86,0
0.498,0.727,10.247,1,0.24,6.52,0
0.574,0.612,10.17,1.55,3.27,67.88,0
0.421,1.072,10.285,2.96,2.88,44.47,0
0.536,1.11,10.132,1.68,1.98,15.22,0
0.498,0.957,10.094,4.48,1.77,3.28,0
0.651,0.229,10.285,3.41,1.25,22.36,0
0.727,0.957,10.094,3.89,2.59,10.96,0
0.651,0.498,10.056,1.03,2.7,4.15,0
1.149,0.536,9.941,1.58,3.39,4.7,0
0.574,0.459,9.979,0.84,1.1,18.77,0
0.804,0.919,14.959,14.43,1.93,8.53,0
0.612,4.29,12.852,10.75,5.22,27.29,0
0.459,1.264,10.324,4.2,3.84,23.38,0
0.651,0.344,10.4,3.54,1.36,43.98,0
0.766,1.11,11.281,10.85,2.1,14.36,0
0.459,2.873,12.239,13.88,1.98,32.35,0
1.992,1.877,10.17,4.7,3.75,27.48,0
0.268,1.34,10.745,2.98,0.85,44.1,0
1.8,3.486,12.737,10.81,1.01,17.26,0
0.574,1.11,10.209,10.64,2.21,10.25,0
0.459,1.225,10.17,1.96,1.34,7.36,0
0.229,0.612,10.247,5.49,1.49,20.92,0
0.919,3.409,10.324,2.22,0.68,31.44,0
1.647,2.106,10.017,9.79,0.92,40.02,0
0.498,1.11,10.4,10.85,2.56,20.07,0
0.306,0.804,10.439,1.75,0.88,6.76,0
0.306,0.459,10.17,2.07,1.31,13,0
1.264,0.842,10.898,3.41,13.33,10.66,0
0.804,0.804,10.668,2.83,3.7,6.46,0
0.727,0.957,10.285,5.05,2.13,11.96,0
0.727,2.106,10.477,8.15,3.65,9.13,0
0.459,1.647,10.937,4.05,7.49,53.35,0
0.459,1.992,10.898,1.81,3.46,0.85,0
